Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,567323,-,b'Washington',b'United States',47.6,-122.33,-8,39,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Wind Speed,Precipitable Water,Temperature,Clearsky GHI,GHI,Cloud Type
2021,1,1,0,0,1.2000000000000002,2.3000000000000003,6.5,0,0,8
2021,1,1,1,0,1.4000000000000001,2.4000000000000004,6.6000000000000005,0,0,6
2021,1,1,2,0,1.5,2.4000000000000004,6.6000000000000005,0,0,8
2021,1,1,3,0,1.5,2.3000000000000003,6.7,0,0,8
2021,1,1,4,0,1.4000000000000001,2.3000000000000003,6.9,0,0,8
2021,1,1,5,0,1.4000000000000001,2.2,7,0,0,8
2021,1,1,6,0,1.4000000000000001,2.1,7.2,0,0,8
2021,1,1,7,0,1.4000000000000001,2,7.300000000000001,0,0,8
2021,1,1,8,0,1.3,1.9000000000000001,7.6000000000000005,0,0,8
2021,1,1,9,0,1.2000000000000002,2,8.1,95,31,7
2021,1,1,10,0,1.3,2.1,8.700000000000001,199,80,8
2021,1,1,11,0,1.3,2.1,9.3,275,124,4
2021,1,1,12,0,1.3,2,9.8,310,102,6
2021,1,1,13,0,1.3,2.1,10,292,42,6
2021,1,1,14,0,1.3,2.1,9.8,233,17,6
2021,1,1,15,0,1.3,2.1,9.4,140,14,6
2021,1,1,16,0,1.4000000000000001,1.9000000000000001,8.9,35,7,6
2021,1,1,17,0,1.4000000000000001,1.8,8.4,0,0,6
2021,1,1,18,0,1.3,1.7000000000000002,8,0,0,8
