Hr,PV,Batt,Wind,Load,City,Weather
1,0,0,0,60.7566,Fukuoka,Windy
2,0,-20.9576,0.004,14.9876,Fukuoka,Windy
3,0,-7.2501,11.4106,11.8716,Fukuoka,Windy
4,0,4.8005,23.8844,11.8132,Fukuoka,Windy
5,0,5.3558,26.2239,12.264,Fukuoka,Windy
6,0,11.7518,34.2094,14.0574,Fukuoka,Windy
7,0,9.8707,41.9431,23.0017,Fukuoka,Windy
8,0.2592,-10.0665,38.5983,38.6236,Fukuoka,Windy
9,1.2035,-28.6302,14.5214,37.0325,Fukuoka,Windy
10,14.0514,-16.5344,12.9646,35.3119,Fukuoka,Windy
11,16.0251,1.2887,23.9312,28.5309,Fukuoka,Windy
12,27.6578,30.4598,51.3167,33.2405,Fukuoka,Windy
13,28.0303,3.8966,17.1472,33.6644,Fukuoka,Windy
14,25.674,-6.2603,10.1908,33.5352,Fukuoka,Windy
15,21.2354,-4.7797,16.7585,33.4417,Fukuoka,Windy
16,14.4732,-18.1085,9.2443,34.1945,Fukuoka,Windy
17,3.6319,-27.8718,10.0226,33.6673,Fukuoka,Windy
18,0.1446,-28.332,25.951,46.4228,Fukuoka,Windy
19,0.0008,-33.2485,22.0354,48.2443,Fukuoka,Windy
20,-0.0001,-11.9046,46.1019,51.7975,Fukuoka,Windy
21,-0.0001,-29.048,28.0678,50.1709,Fukuoka,Windy
22,-0.0001,-28.2907,26.6956,47.4092,Fukuoka,Windy
23,-0.0001,3.2957,58.2581,43.9225,Fukuoka,Windy
24,0,3.531,55.8463,37.9571,Fukuoka,Windy
25,0,12.4796,43.1784,21.5028,Fukuoka,Windy
26,0,-3.56,19.0121,15.9809,Fukuoka,Windy
27,0,-3.8365,14.6213,12.5704,Fukuoka,Windy
28,0,23.706,45.1888,12.7188,Fukuoka,Windy
29,0,8.7513,30.6818,13.1591,Fukuoka,Windy
30,0,10.4515,34.4234,15.0584,Fukuoka,Windy
31,0,9.9136,42.7006,24.3681,Fukuoka,Windy
32,0.4065,-13.7507,34.5225,40.89,Fukuoka,Windy
33,2.3259,-5.8043,38.7394,39.4232,Fukuoka,Windy
34,8.4059,5.3309,45.782,37.7137,Fukuoka,Windy
35,18.5585,31.2053,53.7433,30.8176,Fukuoka,Windy
36,19.7789,22.9046,50.0986,35.7716,Fukuoka,Windy
37,14.19,-7.9848,22.3149,35.7539,Fukuoka,Windy
38,16.875,-12.7266,14.3498,35.4713,Fukuoka,Windy
39,12.0158,-13.9935,16.9417,35.3078,Fukuoka,Windy
40,12.4888,2.4016,35.1741,36.2632,Fukuoka,Windy
41,1.7615,-8.5166,34.3881,35.9218,Fukuoka,Windy
42,0.0114,-24.7765,33.7404,49.3455,Fukuoka,Windy
43,-0.0001,-19.9568,39.5866,51.1708,Fukuoka,Windy
44,-0.0001,-35.8934,25.9125,54.5525,Fukuoka,Windy
45,-0.0001,-44.9842,15.2509,52.8202,Fukuoka,Windy
46,-0.0001,-10.6281,47.7063,49.7576,Fukuoka,Windy
47,-0.0001,-35.2903,18.7934,45.5622,Fukuoka,Windy
48,-0.0001,-39.4321,5.203,38.8,Fukuoka,Windy
1,0,0,0,13.4062,Fukuoka,Rainy
2,0,-10.0367,0.4109,4.4859,Fukuoka,Rainy
3,0,-10.3021,0.1393,4.4828,Fukuoka,Rainy
4,0,-10.0492,0.7263,4.5157,Fukuoka,Rainy
5,0,-8.8931,0.1081,3.042,Fukuoka,Rainy
6,0.0715,-8.0559,0.7512,2.7535,Fukuoka,Rainy
7,0.7429,-11.8817,2.4277,8.5293,Fukuoka,Rainy
8,1.7047,-16.6555,0.6743,13.1255,Fukuoka,Rainy
9,1.8561,-16.9392,3.2069,15.0765,Fukuoka,Rainy
10,2.0075,-16.8864,1.0641,13.8767,Fukuoka,Rainy
11,2.019,-17.0513,0.6706,13.8255,Fukuoka,Rainy
12,2.3069,-17.2666,1.6872,14.9162,Fukuoka,Rainy
13,1.7566,-18.5489,2.6676,16.4988,Fukuoka,Rainy
14,1.3306,-18.4445,5.0992,19.4531,Fukuoka,Rainy
15,1.1827,-19.2777,5.3159,20.1809,Fukuoka,Rainy
16,1.4565,-7.4641,13.6991,18.1584,Fukuoka,Rainy
17,1.7368,-9.345,12.3314,16.596,Fukuoka,Rainy
