Hr,PV,Wind,Battery Charge,Battery Discharge,Load,City,Weather
1,0,0,0,0,60.7566,Fukuoka,Windy
2,0,0.004,0,20.9576,14.9876,Fukuoka,Windy
3,0,11.4106,0,7.2501,11.8716,Fukuoka,Windy
4,0,23.8844,4.8005,0,11.8132,Fukuoka,Windy
5,0,26.2239,5.3558,0,12.264,Fukuoka,Windy
6,0,34.2094,11.7518,0,14.0574,Fukuoka,Windy
7,0,41.9431,9.8707,0,23.0017,Fukuoka,Windy
8,0.2592,38.5983,0,10.0665,38.6236,Fukuoka,Windy
9,1.2035,14.5214,0,28.6302,37.0325,Fukuoka,Windy
10,14.0514,12.9646,0,16.5344,35.3119,Fukuoka,Windy
11,16.0251,23.9312,1.2887,0,28.5309,Fukuoka,Windy
12,27.6578,51.3167,30.4598,0,33.2405,Fukuoka,Windy
13,28.0303,17.1472,3.8966,0,33.6644,Fukuoka,Windy
14,25.674,10.1908,0,6.2603,33.5352,Fukuoka,Windy
15,21.2354,16.7585,0,4.7797,33.4417,Fukuoka,Windy
16,14.4732,9.2443,0,18.1085,34.1945,Fukuoka,Windy
17,3.6319,10.0226,0,27.8718,33.6673,Fukuoka,Windy
18,0.1446,25.951,0,28.332,46.4228,Fukuoka,Windy
19,0.0008,22.0354,0,33.2485,48.2443,Fukuoka,Windy
20,0,46.1019,0,11.9046,51.7975,Fukuoka,Windy
21,0,28.0678,0,29.048,50.1709,Fukuoka,Windy
22,0,26.6956,0,28.2907,47.4092,Fukuoka,Windy
23,0,58.2581,3.2957,0,43.9225,Fukuoka,Windy
24,0,55.8463,3.531,0,37.9571,Fukuoka,Windy
25,0,43.1784,12.4796,0,21.5028,Fukuoka,Windy
26,0,19.0121,0,3.56,15.9809,Fukuoka,Windy
27,0,14.6213,0,3.8365,12.5704,Fukuoka,Windy
28,0,45.1888,23.706,0,12.7188,Fukuoka,Windy
29,0,30.6818,8.7513,0,13.1591,Fukuoka,Windy
30,0,34.4234,10.4515,0,15.0584,Fukuoka,Windy
31,0,42.7006,9.9136,0,24.3681,Fukuoka,Windy
32,0.4065,34.5225,0,13.7507,40.89,Fukuoka,Windy
33,2.3259,38.7394,0,5.8043,39.4232,Fukuoka,Windy
34,8.4059,45.782,5.3309,0,37.7137,Fukuoka,Windy
35,18.5585,53.7433,31.2053,0,30.8176,Fukuoka,Windy
36,19.7789,50.0986,22.9046,0,35.7716,Fukuoka,Windy
37,14.19,22.3149,0,7.9848,35.7539,Fukuoka,Windy
38,16.875,14.3498,0,12.7266,35.4713,Fukuoka,Windy
39,12.0158,16.9417,0,13.9935,35.3078,Fukuoka,Windy
40,12.4888,35.1741,2.4016,0,36.2632,Fukuoka,Windy
41,1.7615,34.3881,0,8.5166,35.9218,Fukuoka,Windy
42,0.0114,33.7404,0,24.7765,49.3455,Fukuoka,Windy
