Hr,PV,Bat,Wind,Load,City ,Weather
1,0.193569083,-17.02413917,0,12.4801755,Seattle,Cloudy
2,0.200289917,-16.81121883,0,12.28303792,Seattle,Cloudy
3,0.199996917,-17.60372033,0,12.85173833,Seattle,Cloudy
4,0.19362875,-18.56462133,0,13.75241117,Seattle,Cloudy
5,0.208432083,-19.86482217,0,15.12756458,Seattle,Cloudy
6,0.20283525,-22.08138075,0,17.60421417,Seattle,Cloudy
7,0.1995605,-24.22161483,0,19.86708242,Seattle,Cloudy
8,0.203512083,-25.46997225,0,21.371864,Seattle,Cloudy
9,0.19697975,-25.75597983,0,21.46860033,Seattle,Cloudy
10,0.187622917,-24.76335692,0,20.66377108,Seattle,Cloudy
11,0.194202,-23.41815517,0,19.22353975,Seattle,Cloudy
12,1.080829167,-22.27495183,0,18.14623208,Seattle,Cloudy
13,8.572689917,-15.51674892,0,16.95599233,Seattle,Cloudy
14,1.673540667,-19.21517017,0,15.67809667,Seattle,Cloudy
15,0.1892575,-19.93646783,0,15.44557442,Seattle,Cloudy
16,0.294878083,-21.31386,0,16.61028533,Seattle,Cloudy
17,6.199529333,-20.23699133,0,18.83338242,Seattle,Cloudy
18,0.804613917,-24.95088933,0,20.70388325,Seattle,Cloudy
19,0.176384,-26.16127875,0,21.45522108,Seattle,Cloudy
20,0.166022417,-26.04591,0,21.44127225,Seattle,Cloudy
21,0.169360917,-25.19797242,0,20.50908708,Seattle,Cloudy
22,0.16364775,-22.7269785,0,17.9530015,Seattle,Cloudy
23,0.16173075,-20.42594808,0,15.55502517,Seattle,Cloudy
24,0.16351125,-18.24970117,0,13.25670925,Seattle,Cloudy
25,0.174030083,-17.09913883,0,12.25634775,Seattle,Cloudy
26,0.174370083,-16.7979615,0,11.86114758,Seattle,Cloudy
27,0.19315625,-17.5558295,0,12.52308917,Seattle,Cloudy
28,0.171085833,-18.4316585,0,13.43091358,Seattle,Cloudy
29,0.178034083,-19.7656365,0,14.89207283,Seattle,Cloudy
30,0.183113083,-22.19391175,0,17.3327225,Seattle,Cloudy
