Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1951980,-,b'Colorado',b'United States',39.74,-104.99,0,1608,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Wind Speed,Precipitable Water,Cloud Type
2021,1,1,0,0,-1.9000000000000001,0,0,1.2000000000000002,0.6000000000000001,7
2021,1,1,1,0,-2,0,0,1.1,0.6000000000000001,4
2021,1,1,2,0,-2.1,0,0,1.7000000000000002,0.6000000000000001,4
2021,1,1,3,0,-2.1,0,0,2.1,0.6000000000000001,4
2021,1,1,4,0,-2.3000000000000003,0,0,2.1,0.6000000000000001,5
2021,1,1,5,0,-2.9000000000000004,0,0,2,0.6000000000000001,7
2021,1,1,6,0,-3.4000000000000004,0,0,1.9000000000000001,0.6000000000000001,1
2021,1,1,7,0,-3.8000000000000003,0,0,1.7000000000000002,0.6000000000000001,1
2021,1,1,8,0,-4.2,0,0,1.6,0.6000000000000001,7
2021,1,1,9,0,-4.5,0,0,1.5,0.6000000000000001,8
2021,1,1,10,0,-5,0,0,1.4000000000000001,0.6000000000000001,1
2021,1,1,11,0,-5.300000000000001,0,0,1.4000000000000001,0.6000000000000001,1
2021,1,1,12,0,-5.5,0,0,1.4000000000000001,0.7000000000000001,1
2021,1,1,13,0,-5.4,0,0,1.5,0.7000000000000001,7
2021,1,1,14,0,-4.9,0,0,1.5,0.7000000000000001,8
2021,1,1,15,0,-2.4000000000000004,77,55,2.1,0.7000000000000001,7
2021,1,1,16,0,-0.4,235,111,2.5,0.8,5
2021,1,1,17,0,1.2000000000000002,374,270,2.2,0.8,4
2021,1,1,18,0,2.4000000000000004,469,375,1.7000000000000002,0.7000000000000001,4
2021,1,1,19,0,3.3000000000000003,504,504,1.1,0.7000000000000001,0
2021,1,1,20,0,3.9000000000000004,477,477,0.7000000000000001,0.7000000000000001,0
2021,1,1,21,0,4,392,392,1,0.7000000000000001,0
2021,1,1,22,0,2.8000000000000003,258,258,1.1,0.7000000000000001,0
2021,1,1,23,0,-0.6000000000000001,98,98,1.1,0.7000000000000001,0
2021,1,2,0,0,-1.6,0,0,1.1,0.7000000000000001,0
2021,1,2,1,0,-1.9000000000000001,0,0,1,0.7000000000000001,0
2021,1,2,2,0,-2.5,0,0,1.1,0.6000000000000001,0
2021,1,2,3,0,-2.7,0,0,1.3,0.6000000000000001,0
2021,1,2,4,0,-2.9000000000000004,0,0,1.4000000000000001,0.6000000000000001,1
2021,1,2,5,0,-3.2,0,0,1.6,0.5,1
